dataset_group,method,graph_count,mean_normalized_auc,median_normalized_auc,mean_runtime_seconds
realworld_completed,M5,28,0.12269528543873574,0.07640247923713088,381.7339130642858
realworld_completed,SASB,28,0.1248903548483991,0.07792229501730352,32.289818682142865
realworld_completed,dynamic-closeness,28,0.1336163572988848,0.08799078013147571,102.44219906785722
realworld_completed,dynamic-degree,28,0.15784271626535704,0.10123701111097255,7.014214796428549
realworld_completed,dynamic-k-core,28,0.16008424222043913,0.10420681975247312,7.5083534500000315
realworld_completed,random,28,0.34338287959867303,0.3883222035444105,15.24146222857143
synthetic45,M5,45,0.255198280701472,0.26387543252595164,3.1991194777777725
synthetic45,SASB,45,0.261997133971005,0.264567474048443,1.9698167844444423
synthetic45,dynamic-closeness,45,0.2789734825387423,0.2864930555555556,1.3941252933333312
synthetic45,dynamic-k-core,45,0.3000795688962679,0.2993055986111973,0.24000338888889264
synthetic45,dynamic-degree,45,0.3005736144442831,0.3000420079815165,0.19218964444444567
synthetic45,random,45,0.4371508926253901,0.4532519065038131,0.26869652444443975
