dataset_group,graph_id,graph_type,methods_plotted,plot_file,sasb_normalized_auc
synthetic45,synthetic_test_003,sbm,SASB;M5;degree-product;dynamic-community-bridge;static-community-bridge;static-edge-betweenness;random-edge,sasb_best_gcc_curve_synthetic45_synthetic_test_003.png,0.4808610946979469
synthetic45,synthetic_test_008,sbm,SASB;M5;degree-product;dynamic-community-bridge;static-community-bridge;static-edge-betweenness;random-edge,sasb_best_gcc_curve_synthetic45_synthetic_test_008.png,0.2451798561151079
synthetic45,synthetic_test_013,ws,SASB;M5;degree-product;dynamic-community-bridge;static-community-bridge;static-edge-betweenness;random-edge,sasb_best_gcc_curve_synthetic45_synthetic_test_013.png,0.12011199037438106
synthetic45,synthetic_test_018,er,SASB;M5;degree-product;dynamic-community-bridge;static-community-bridge;static-edge-betweenness;random-edge,sasb_best_gcc_curve_synthetic45_synthetic_test_018.png,0.4937323171474597
synthetic45,synthetic_test_019,ba,SASB;M5;degree-product;dynamic-community-bridge;static-community-bridge;static-edge-betweenness;random-edge,sasb_best_gcc_curve_synthetic45_synthetic_test_019.png,0.4810833333333333
synthetic45,synthetic_test_021,er,SASB;M5;degree-product;dynamic-community-bridge;static-community-bridge;static-edge-betweenness;random-edge,sasb_best_gcc_curve_synthetic45_synthetic_test_021.png,0.4371910505422301
synthetic45,synthetic_test_022,sbm,SASB;M5;degree-product;dynamic-community-bridge;static-community-bridge;static-edge-betweenness;random-edge,sasb_best_gcc_curve_synthetic45_synthetic_test_022.png,0.4674758985157201
synthetic45,synthetic_test_024,sbm,SASB;M5;degree-product;dynamic-community-bridge;static-community-bridge;static-edge-betweenness;random-edge,sasb_best_gcc_curve_synthetic45_synthetic_test_024.png,0.4708445945945946
synthetic45,synthetic_test_026,er,SASB;M5;degree-product;dynamic-community-bridge;static-community-bridge;static-edge-betweenness;random-edge,sasb_best_gcc_curve_synthetic45_synthetic_test_026.png,0.4445127844653369
synthetic45,synthetic_test_028,ba,SASB;M5;degree-product;dynamic-community-bridge;static-community-bridge;static-edge-betweenness;random-edge,sasb_best_gcc_curve_synthetic45_synthetic_test_028.png,0.4441133380215659
synthetic45,synthetic_test_029,ba,SASB;M5;degree-product;dynamic-community-bridge;static-community-bridge;static-edge-betweenness;random-edge,sasb_best_gcc_curve_synthetic45_synthetic_test_029.png,0.4699792815746003
synthetic45,synthetic_test_030,sbm,SASB;M5;degree-product;dynamic-community-bridge;static-community-bridge;static-edge-betweenness;random-edge,sasb_best_gcc_curve_synthetic45_synthetic_test_030.png,0.4283941424671134
synthetic45,synthetic_test_033,ws,SASB;M5;degree-product;dynamic-community-bridge;static-community-bridge;static-edge-betweenness;random-edge,sasb_best_gcc_curve_synthetic45_synthetic_test_033.png,0.18265699184806952
synthetic45,synthetic_test_034,ba,SASB;M5;degree-product;dynamic-community-bridge;static-community-bridge;static-edge-betweenness;random-edge,sasb_best_gcc_curve_synthetic45_synthetic_test_034.png,0.455021216407355
synthetic45,synthetic_test_035,ba,SASB;M5;degree-product;dynamic-community-bridge;static-community-bridge;static-edge-betweenness;random-edge,sasb_best_gcc_curve_synthetic45_synthetic_test_035.png,0.5011875564734736
synthetic45,synthetic_test_036,sbm,SASB;M5;degree-product;dynamic-community-bridge;static-community-bridge;static-edge-betweenness;random-edge,sasb_best_gcc_curve_synthetic45_synthetic_test_036.png,0.19768592068583074
synthetic45,synthetic_test_038,sbm,SASB;M5;degree-product;dynamic-community-bridge;static-community-bridge;static-edge-betweenness;random-edge,sasb_best_gcc_curve_synthetic45_synthetic_test_038.png,0.4637037528032789
synthetic45,synthetic_test_039,sbm,SASB;M5;degree-product;dynamic-community-bridge;static-community-bridge;static-edge-betweenness;random-edge,sasb_best_gcc_curve_synthetic45_synthetic_test_039.png,0.3891868131868131
synthetic45,synthetic_test_041,sbm,SASB;M5;degree-product;dynamic-community-bridge;static-community-bridge;static-edge-betweenness;random-edge,sasb_best_gcc_curve_synthetic45_synthetic_test_041.png,0.3557475708570084
realworld_completed,bio_celegansneural,biological,SASB;M5;degree-product;static-edge-betweenness;random-edge,sasb_best_gcc_curve_realworld_completed_bio_celegansneural.png,0.35070286979039306
realworld_completed,bio_sc_ts,biological,SASB;M5,sasb_best_gcc_curve_realworld_completed_bio_sc_ts.png,0.6763941486596866
realworld_completed,football,social,SASB;M5;degree-product;dynamic-community-bridge;static-community-bridge;static-edge-betweenness;random-edge,sasb_best_gcc_curve_realworld_completed_football.png,0.2174622313639265
realworld_completed,ia_email_univ,communication,SASB;M5,sasb_best_gcc_curve_realworld_completed_ia_email_univ.png,0.2481300547621326
realworld_completed,ia_infect_dublin,contact,SASB;M5,sasb_best_gcc_curve_realworld_completed_ia_infect_dublin.png,0.12549596436289862
realworld_completed,rt_retweet,social,SASB;M5;degree-product;dynamic-community-bridge;static-community-bridge;static-edge-betweenness;random-edge,sasb_best_gcc_curve_realworld_completed_rt_retweet.png,0.13679665242165234
realworld_completed,soc_wiki_vote,social,SASB;M5,sasb_best_gcc_curve_realworld_completed_soc_wiki_vote.png,0.2006094468115988
