network,method,auc,remove_ratio_gcc_le_0_5,remove_ratio_gcc_le_0_2,remove_ratio_gcc_le_0_1,elapsed_seconds,num_steps
sbm_strong,M1 Random,0.7697892973316671,0.8232445520581114,0.8571428571428571,0.9079903147699758,3.1106324195861816,827
sbm_strong,M2 max k_i*k_j,0.7678387996184571,0.761501210653753,0.7711864406779662,0.784503631961259,3.9335672855377197,827
sbm_strong,M3 max C_i*C_j with Louvain,0.21457614889818127,0.09079903147699758,0.39951573849878935,0.5508474576271186,7.899343490600586,827
sbm_strong,M4 max E_i*E_j/E_ij with Louvain,0.1959455328099375,0.08837772397094432,0.31234866828087166,0.5121065375302664,7.421631813049316,827
sbm_strong,M5 max edge betweenness,0.19631239758358343,0.09685230024213075,0.3498789346246973,0.6113801452784504,19.427878856658936,827
sbm_strong,M6 max E_i*E_j with Louvain,0.21428265707926464,0.09322033898305085,0.3983050847457627,0.5508474576271186,7.763746738433838,827
sbm_strong,M7 max C_i*C_j/E_ij with Louvain,0.18903624623963602,0.08595641646489104,0.36803874092009686,0.5242130750605327,7.426055669784546,827
sbm_strong,M8 max (C_i*C_j/E_ij)*(k_i*k_j) with Louvain,0.20092877931860834,0.0847457627118644,0.34019370460048426,0.5363196125907991,7.451032638549805,827
sbm_medium,M1 Random,0.7791001041010672,0.8324808184143222,0.850383631713555,0.8913043478260869,3.4054861068725586,783
sbm_medium,M2 max k_i*k_j,0.7590060275803596,0.7557544757033248,0.7608695652173914,0.7736572890025576,3.5168297290802,783
sbm_medium,M3 max C_i*C_j with Louvain,0.37157655284093444,0.29923273657289,0.5473145780051151,0.618925831202046,12.816236734390259,783
sbm_medium,M4 max E_i*E_j/E_ij with Louvain,0.33907388605431343,0.2710997442455243,0.4718670076726343,0.592071611253197,11.606088876724243,783
sbm_medium,M5 max edge betweenness,0.33949800151653386,0.29539641943734013,0.5421994884910486,0.6675191815856778,42.51630401611328,783
sbm_medium,M6 max E_i*E_j with Louvain,0.3989962600727431,0.35421994884910485,0.5294117647058824,0.6432225063938619,13.21824598312378,783
sbm_medium,M7 max C_i*C_j/E_ij with Louvain,0.365330488760941,0.329923273657289,0.4936061381074169,0.5818414322250639,13.526803016662598,783
sbm_medium,M8 max (C_i*C_j/E_ij)*(k_i*k_j) with Louvain,0.3537058695009586,0.2966751918158568,0.4833759590792839,0.5959079283887468,12.299791812896729,783
sbm_weak,M1 Random,0.8409865591397832,0.8516129032258064,0.9010752688172043,0.9397849462365592,2.6763598918914795,931
sbm_weak,M2 max k_i*k_j,0.7956801075268851,0.7913978494623656,0.7956989247311828,0.8086021505376344,4.734435796737671,931
sbm_weak,M3 max C_i*C_j with Louvain,0.5739489247311865,0.5612903225806452,0.6720430107526881,0.7161290322580646,28.0006902217865,931
sbm_weak,M4 max E_i*E_j/E_ij with Louvain,0.4773575268817197,0.45483870967741935,0.6301075268817204,0.6763440860215054,23.91148042678833,931
sbm_weak,M5 max edge betweenness,0.5292661290322643,0.6172043010752688,0.7139784946236559,0.7580645161290323,92.81672430038452,931
sbm_weak,M6 max E_i*E_j with Louvain,0.5432446236559174,0.4924731182795699,0.6387096774193548,0.6956989247311828,27.26723027229309,931
sbm_weak,M7 max C_i*C_j/E_ij with Louvain,0.5572715053763493,0.5043010752688172,0.6333333333333333,0.7075268817204301,26.729361534118652,931
sbm_weak,M8 max (C_i*C_j/E_ij)*(k_i*k_j) with Louvain,0.5588521505376385,0.4967741935483871,0.646236559139785,0.7021505376344086,17.575953483581543,931
karate,M1 Random,0.7245475113122172,0.717948717948718,0.8717948717948718,0.9487179487179487,0.01719975471496582,79
karate,M2 max k_i*k_j,0.5989819004524887,0.5897435897435898,0.6282051282051282,0.7435897435897436,0.033594608306884766,79
karate,M3 max C_i*C_j with Louvain,0.3655731523378578,0.21794871794871795,0.5256410256410257,0.7564102564102564,0.0850677490234375,79
karate,M4 max E_i*E_j/E_ij with Louvain,0.3256033182503769,0.21794871794871795,0.5256410256410257,0.7435897435897436,0.07612276077270508,79
karate,M5 max edge betweenness,0.3372926093514327,0.2564102564102564,0.5512820512820513,0.8076923076923077,0.0815742015838623,79
karate,M6 max E_i*E_j with Louvain,0.34144042232277494,0.24358974358974358,0.5384615384615384,0.7564102564102564,0.08080720901489258,79
karate,M7 max C_i*C_j/E_ij with Louvain,0.3256033182503769,0.21794871794871795,0.5256410256410257,0.7435897435897436,0.07635021209716797,79
karate,M8 max (C_i*C_j/E_ij)*(k_i*k_j) with Louvain,0.3286199095022622,0.24358974358974358,0.5384615384615384,0.7435897435897436,0.0782475471496582,79
football,M1 Random,0.8412937087736713,0.8221859706362153,0.8809135399673735,0.9314845024469821,0.6014213562011719,614
football,M2 max k_i*k_j,0.8144407404780456,0.8075040783034257,0.8238172920065253,0.833605220228385,1.261983871459961,614
football,M3 max C_i*C_j with Louvain,0.25180509255975697,0.22185970636215335,0.28874388254486133,0.3915171288743883,1.9930427074432373,614
football,M4 max E_i*E_j/E_ij with Louvain,0.24123696716079163,0.16476345840130505,0.2838499184339315,0.39477977161500816,1.7923643589019775,614
football,M5 max edge betweenness,0.21773175402510875,0.1402936378466558,0.2805872756933116,0.4078303425774878,4.669467449188232,614
football,M6 max E_i*E_j with Louvain,0.2542449819136114,0.23164763458401305,0.2805872756933116,0.3915171288743883,2.020707845687866,614
football,M7 max C_i*C_j/E_ij with Louvain,0.23986098304844317,0.16476345840130505,0.2805872756933116,0.39477977161500816,1.819831371307373,614
football,M8 max (C_i*C_j/E_ij)*(k_i*k_j) with Louvain,0.24007376409674452,0.16476345840130505,0.2838499184339315,0.39477977161500816,1.7770731449127197,614
ca_netscience,M1 Random,0.5480418930388019,0.5689277899343544,0.7013129102844639,0.8347921225382933,2.842123031616211,915
ca_netscience,M2 max k_i*k_j,0.3643066228644996,0.3599562363238512,0.38840262582056895,0.412472647702407,3.59814453125,915
ca_netscience,M3 max C_i*C_j with Louvain,0.06089963799703163,0.03938730853391685,0.05470459518599562,0.11706783369803063,2.9724984169006348,915
ca_netscience,M4 max E_i*E_j/E_ij with Louvain,0.053734635081377706,0.020787746170678335,0.06345733041575492,0.09080962800875274,2.7811198234558105,915
ca_netscience,M5 max edge betweenness,0.04614816140597964,0.009846827133479213,0.04814004376367615,0.10065645514223195,6.336426258087158,915
ca_netscience,M6 max E_i*E_j with Louvain,0.06134708983100686,0.037199124726477024,0.05579868708971553,0.12035010940919037,2.983677864074707,915
ca_netscience,M7 max C_i*C_j/E_ij with Louvain,0.051116320156116675,0.020787746170678335,0.05142231947483589,0.10284463894967177,2.6854588985443115,915
ca_netscience,M8 max (C_i*C_j/E_ij)*(k_i*k_j) with Louvain,0.06579274031050246,0.05142231947483589,0.05908096280087528,0.10722100656455143,3.0534703731536865,915
bio_diseasome,M1 Random,0.4798281588494754,0.45707070707070707,0.7449494949494949,0.8013468013468014,4.4136433601379395,1189
bio_diseasome,M2 max k_i*k_j,0.2818307428288021,0.28114478114478114,0.3341750841750842,0.35942760942760943,4.825364828109741,1189
bio_diseasome,M3 max C_i*C_j with Louvain,0.09368148539660227,0.061447811447811446,0.1127946127946128,0.12542087542087543,6.624581575393677,1189
bio_diseasome,M4 max E_i*E_j/E_ij with Louvain,0.058792870566126636,0.03956228956228956,0.0765993265993266,0.10774410774410774,5.217998504638672,1189
bio_diseasome,M5 max edge betweenness,0.04678976457077229,0.015151515151515152,0.06228956228956229,0.12373737373737374,15.376733303070068,1189
bio_diseasome,M6 max E_i*E_j with Louvain,0.08576968000417655,0.06313131313131314,0.07912457912457913,0.12962962962962962,6.329024314880371,1189
bio_diseasome,M7 max C_i*C_j/E_ij with Louvain,0.04916983138882386,0.017676767676767676,0.06481481481481481,0.1069023569023569,4.740510940551758,1189
bio_diseasome,M8 max (C_i*C_j/E_ij)*(k_i*k_j) with Louvain,0.0721874755304993,0.049663299663299666,0.10101010101010101,0.12205387205387205,5.749296426773071,1189
inf_USAir97,M1 Random,0.751085952464609,0.8207902163687676,0.9506114769520225,0.9609595484477893,15.456522226333618,2127
inf_USAir97,M2 max k_i*k_j,0.823110173525711,0.8438381937911571,0.8447789275634995,0.8494825964252116,18.933851718902588,2127
inf_USAir97,M3 max C_i*C_j with Louvain,0.41699087034874677,0.3824082784571966,0.5136406396989652,0.6425211665098777,46.85374999046326,2127
inf_USAir97,M4 max E_i*E_j/E_ij with Louvain,0.3335829205816655,0.24929444967074318,0.5333960489181562,0.6152398871119473,45.238524436950684,2127
inf_USAir97,M5 max edge betweenness,0.23814236248852386,0.12558795860771402,0.4261523988711195,0.7017873941674506,265.8418529033661,2127
inf_USAir97,M6 max E_i*E_j with Louvain,0.3887447721270822,0.3504233301975541,0.5253998118532456,0.6048918156161807,44.65852355957031,2127
inf_USAir97,M7 max C_i*C_j/E_ij with Louvain,0.31672621813689783,0.23000940733772343,0.5056444026340545,0.6246472248353716,43.93170762062073,2127
inf_USAir97,M8 max (C_i*C_j/E_ij)*(k_i*k_j) with Louvain,0.36114897029321263,0.3066792097836312,0.5691439322671684,0.6067732831608654,50.049978733062744,2127
