dataset_group,graph_id,graph_type,node_count,edge_count,graph_density,louvain_modularity,community_count,cross_community_edge_fraction,bridge_node_fraction,degree_heterogeneity,clustering_coefficient,degree_assortativity
synthetic45,synthetic_test_001,ws,202,1010,0.04975124378109453,0.6385692579158906,9,0.24653465346534653,0.8910891089108911,0.1222722169975868,0.4047895998391048,0.0232992474093713
synthetic45,synthetic_test_004,ba,104,204,0.038088125466766244,0.45218185313341025,8,0.4019607843137255,0.6923076923076923,0.972369132636267,0.10461502126635905,-0.19958475953814636
synthetic45,synthetic_test_005,sbm,201,767,0.038159203980099504,0.4902573395049032,6,0.3376792698826597,0.9253731343283582,0.35636295458014744,0.08280628989584214,-0.061320903058531794
synthetic45,synthetic_test_006,sbm,106,206,0.03701707097933513,0.6692313130361014,5,0.1262135922330097,0.36792452830188677,0.4612161443333917,0.11346211440551063,-0.03302366781601494
synthetic45,synthetic_test_013,ws,147,294,0.0273972602739726,0.7448401129159147,12,0.16666666666666666,0.4897959183673469,0.1486904285332952,0.36666666666666664,-0.12093645484950499
synthetic45,synthetic_test_022,sbm,201,964,0.047960199004975126,0.2948210258087843,8,0.5705394190871369,1.0,0.31098626593840767,0.05309331110472463,-0.022388323674731987
synthetic45,synthetic_test_024,sbm,208,925,0.04296729840208101,0.3136257121986852,10,0.5675675675675675,0.9903846153846154,0.34209853812632196,0.052714650099444094,0.0008393974211682319
synthetic45,synthetic_test_032,ba,119,348,0.04956558894744338,0.3737035936054961,8,0.4827586206896552,0.907563025210084,0.7932179660784324,0.13704534669165103,-0.08718479156602517
synthetic45,synthetic_test_034,ba,105,404,0.073992673992674,0.2775646995392609,7,0.5544554455445545,1.0,0.7558487595537154,0.16764385489743,-0.10494038766457162
synthetic45,synthetic_test_038,sbm,143,633,0.062346104599625723,0.2961760866906753,7,0.5529225908372828,1.0,0.2977893572335024,0.05629447224469849,-0.044507038417364114
synthetic45,synthetic_test_041,sbm,147,607,0.056565091790140715,0.38259704870959077,5,0.40362438220757824,0.9387755102040817,0.3573345166836836,0.0976332435516109,-0.031105574636000697
synthetic45,synthetic_test_043,sbm,145,392,0.037547892720306515,0.4768911391087047,8,0.3877551020408163,0.8827586206896552,0.388861204332474,0.07865452555107727,-0.05797206690387963
realworld_completed,rt_retweet,social,96,117,0.025657894736842105,0.6794506538096282,8,0.1794871794871795,0.21875,1.0539885943622933,0.06074996286393345,-0.17917035735818426
realworld_completed,ia_enron_only,communication,143,623,0.061361174037230376,0.5678678995900847,7,0.2664526484751204,0.6923076923076923,0.6949443717062995,0.4339070291479222,-0.019535922987297196
realworld_completed,ca_netscience,collaboration,379,914,0.012759838617358406,0.8470916786769388,18,0.07221006564551423,0.19261213720316622,0.814219416432427,0.7412306142925664,-0.08167784834672825
realworld_completed,ca_csphd,collaboration,1025,1043,0.001987423780487805,0.9245763888186688,32,0.039309683604985615,0.05365853658536585,1.3919018166777846,0.00343321718931475,-0.25318822336578806
realworld_completed,bio_diseasome,biological,516,1188,0.008941070219011063,0.8284560674080876,25,0.09175084175084175,0.19573643410852712,0.9745730029999684,0.6358304997771198,0.06664558386107425
realworld_completed,bio_celegans_dir,biological,453,2025,0.019779640157064994,0.43647602499618965,10,0.39209876543209876,0.7130242825607064,1.8668183359900012,0.6464630921565051,-0.22582088796832953
realworld_completed,ia_infect_hyper,contact,113,2196,0.3470290771175727,0.10206688929366527,6,0.7112932604735883,0.9911504424778761,0.47212823995877734,0.5347555956050044,-0.12258037504294844
realworld_completed,web_polblogs,web,643,2280,0.011046351070478628,0.5451527393044013,8,0.19824561403508772,0.4447900466562986,1.6143462467040521,0.23201619397697543,-0.21787036395158862
realworld_completed,bio_grid_plant,biological,1272,2726,0.003372276571213673,0.8795346730406202,28,0.040719002201027144,0.10141509433962265,1.355652070047672,0.16759606393508533,0.0014429810000745709
realworld_completed,bio_grid_worm,biological,3343,6437,0.0011523135868280012,0.609808191240592,26,0.2978095386049402,0.3158839365839067,3.499691771092702,0.05115834898328887,-0.16923983015191785
realworld_completed,ia_fb_messages,communication,1266,6451,0.00805624761940443,0.30851770477953583,10,0.5606882653852115,0.7535545023696683,1.2989347054347435,0.06835004537624775,-0.08440795162394522
realworld_completed,econ_mahindas,economic,1258,7513,0.009502272172495394,0.536351702658557,10,0.24956741647810463,0.8418124006359301,1.4726104357341776,0.06131827458520429,-0.06215458079030995
