auc,graph_id,graph_type,method,remove_ratio_gcc_le_0_1,remove_ratio_gcc_le_0_2,remove_ratio_gcc_le_0_5,split
0.20016133557800225,bio_diseasome,real,MLP teacher-rank,0.42003367003367004,0.39646464646464646,0.10185185185185185,real_external_test
0.2727998655808733,bio_diseasome,real,M2 dynamic degree product,0.34175084175084175,0.3122895622895623,0.265993265993266,real_external_test
0.05549438180252134,bio_diseasome,real,M4 dynamic community internal / pair,0.10185185185185185,0.08080808080808081,0.022727272727272728,real_external_test
0.04678487067052959,bio_diseasome,real,M5 dynamic edge betweenness,0.12373737373737374,0.06228956228956229,0.015151515151515152,real_external_test
0.05112902278599953,bio_diseasome,real,M7 dynamic community size / pair,0.11195286195286196,0.07491582491582492,0.021043771043771045,real_external_test
0.07350230339571426,bio_diseasome,real,M8 dynamic community bridge-degree,0.12373737373737374,0.09427609427609428,0.04882154882154882,real_external_test
0.19679797694035323,ca_netscience,real,MLP teacher-rank,0.4824945295404814,0.22647702407002188,0.12691466083150985,real_external_test
0.37124068289810225,ca_netscience,real,M2 dynamic degree product,0.4288840262582057,0.3982494529540481,0.36542669584245074,real_external_test
0.051176942662655954,ca_netscience,real,M4 dynamic community internal / pair,0.10175054704595186,0.05142231947483589,0.020787746170678335,real_external_test
0.046084652113416044,ca_netscience,real,M5 dynamic edge betweenness,0.09737417943107221,0.04814004376367615,0.009846827133479213,real_external_test
0.05009439790303863,ca_netscience,real,M7 dynamic community size / pair,0.09846827133479212,0.05470459518599562,0.020787746170678335,real_external_test
0.06570613672973333,ca_netscience,real,M8 dynamic community bridge-degree,0.11816192560175055,0.05470459518599562,0.0437636761487965,real_external_test
0.4786013192424995,football,real,MLP teacher-rank,0.8189233278955954,0.5774877650897227,0.4469820554649266,real_external_test
0.8170082984608837,football,real,M2 dynamic degree product,0.8450244698205547,0.8238172920065253,0.8091353996737357,real_external_test
0.24352081707922546,football,real,M4 dynamic community internal / pair,0.39804241435562804,0.2838499184339315,0.16802610114192496,real_external_test
0.2177317540251082,football,real,M5 dynamic edge betweenness,0.4078303425774878,0.2805872756933116,0.1402936378466558,real_external_test
0.24069792183842822,football,real,M7 dynamic community size / pair,0.39804241435562804,0.2740619902120718,0.16802610114192496,real_external_test
0.24193205191857578,football,real,M8 dynamic community bridge-degree,0.40456769983686786,0.2805872756933116,0.16802610114192496,real_external_test
0.5490761257636378,inf_USAir97,real,MLP teacher-rank,0.9534336782690499,0.8885230479774224,0.5522107243650047,real_external_test
0.8128570254678167,inf_USAir97,real,M2 dynamic degree product,0.8438381937911571,0.839134524929445,0.8339604891815616,real_external_test
0.3258105328180077,inf_USAir97,real,M4 dynamic community internal / pair,0.6044214487300094,0.4684854186265287,0.2253057384760113,real_external_test
0.23836621178977435,inf_USAir97,real,M5 dynamic edge betweenness,0.7022577610536218,0.4266227657572907,0.12652869238005646,real_external_test
0.3285533951421868,inf_USAir97,real,M7 dynamic community size / pair,0.6180620884289746,0.5258701787394168,0.2497648165569144,real_external_test
0.3420056047331377,inf_USAir97,real,M8 dynamic community bridge-degree,0.6246472248353716,0.5018814675446849,0.2521166509877705,real_external_test
0.57447209653092,karate,real,MLP teacher-rank,0.9615384615384616,0.9102564102564102,0.5384615384615384,real_external_test
0.6091628959276018,karate,real,M2 dynamic degree product,0.7435897435897436,0.6666666666666666,0.6153846153846154,real_external_test
0.3274886877828054,karate,real,M4 dynamic community internal / pair,0.7435897435897436,0.5512820512820513,0.24358974358974358,real_external_test
0.3372926093514329,karate,real,M5 dynamic edge betweenness,0.8076923076923077,0.5512820512820513,0.2564102564102564,real_external_test
0.32447209653092,karate,real,M7 dynamic community size / pair,0.7435897435897436,0.5512820512820513,0.21794871794871795,real_external_test
0.3274886877828054,karate,real,M8 dynamic community bridge-degree,0.7435897435897436,0.5512820512820513,0.24358974358974358,real_external_test
0.7738166297159532,synthetic_test_000,sbm,MLP teacher-rank,0.9415041782729805,0.8737233054781801,0.8142989786443825,synthetic_test
0.8252491804521251,synthetic_test_000,sbm,M2 dynamic degree product,0.8328690807799443,0.8263695450324977,0.8245125348189415,synthetic_test
0.4141819680518447,synthetic_test_000,sbm,M4 dynamic community internal / pair,0.6555246053853296,0.5506035283194057,0.3426183844011142,synthetic_test
0.44975413563754196,synthetic_test_000,sbm,M5 dynamic edge betweenness,0.754874651810585,0.6341689879294337,0.48375116063138346,synthetic_test
0.4136561309760673,synthetic_test_000,sbm,M7 dynamic community size / pair,0.669452181987001,0.5784586815227484,0.36025998142989785,synthetic_test
0.44119862429651524,synthetic_test_000,sbm,M8 dynamic community bridge-degree,0.6638811513463324,0.6025998142989787,0.35468895078922935,synthetic_test
0.6243841385886841,synthetic_test_001,sbm,MLP teacher-rank,0.8347107438016529,0.756198347107438,0.6570247933884298,synthetic_test
0.5821082326764144,synthetic_test_001,sbm,M2 dynamic degree product,0.640495867768595,0.5991735537190083,0.5785123966942148,synthetic_test
0.3311943738080102,synthetic_test_001,sbm,M4 dynamic community internal / pair,0.5041322314049587,0.4132231404958678,0.2768595041322314,synthetic_test
0.32813493324856957,synthetic_test_001,sbm,M5 dynamic edge betweenness,0.5165289256198347,0.49586776859504134,0.33884297520661155,synthetic_test
0.34720677050222504,synthetic_test_001,sbm,M7 dynamic community size / pair,0.5041322314049587,0.41735537190082644,0.2809917355371901,synthetic_test
0.34895502225047675,synthetic_test_001,sbm,M8 dynamic community bridge-degree,0.512396694214876,0.43388429752066116,0.30578512396694213,synthetic_test
0.6963537817196355,synthetic_test_002,sbm,MLP teacher-rank,0.8939393939393939,0.8424242424242424,0.7090909090909091,synthetic_test
0.6503079576250308,synthetic_test_002,sbm,M2 dynamic degree product,0.6878787878787879,0.6606060606060606,0.6333333333333333,synthetic_test
0.3946784922394679,synthetic_test_002,sbm,M4 dynamic community internal / pair,0.5636363636363636,0.47575757575757577,0.32727272727272727,synthetic_test
0.3728258191672826,synthetic_test_002,sbm,M5 dynamic edge betweenness,0.5727272727272728,0.48484848484848486,0.396969696969697,synthetic_test
0.3907859078590786,synthetic_test_002,sbm,M7 dynamic community size / pair,0.5424242424242425,0.4575757575757576,0.396969696969697,synthetic_test
0.3994087213599409,synthetic_test_002,sbm,M8 dynamic community bridge-degree,0.5515151515151515,0.47575757575757577,0.3878787878787879,synthetic_test
0.7359341922216174,synthetic_test_003,er,MLP teacher-rank,0.9281437125748503,0.8822355289421158,0.7884231536926147,synthetic_test
0.6862154478920947,synthetic_test_003,er,M2 dynamic degree product,0.7045908183632734,0.6866267465069861,0.6786427145708582,synthetic_test
0.4665456964858163,synthetic_test_003,er,M4 dynamic community internal / pair,0.590818363273453,0.5349301397205589,0.4311377245508982,synthetic_test
0.40264924696062426,synthetic_test_003,er,M5 dynamic edge betweenness,0.5808383233532934,0.5349301397205589,0.4311377245508982,synthetic_test
0.4678279804028307,synthetic_test_003,er,M7 dynamic community size / pair,0.6067864271457086,0.5209580838323353,0.4351297405189621,synthetic_test
0.4496945502933527,synthetic_test_003,er,M8 dynamic community bridge-degree,0.6087824351297405,0.5329341317365269,0.4431137724550898,synthetic_test
0.8013060005304028,synthetic_test_004,sbm,MLP teacher-rank,0.9493116395494368,0.9436795994993742,0.8798498122653317,synthetic_test
0.8394042739297728,synthetic_test_004,sbm,M2 dynamic degree product,0.8448060075093867,0.8404255319148937,0.8366708385481852,synthetic_test
0.5568345189851627,synthetic_test_004,sbm,M4 dynamic community internal / pair,0.7165206508135169,0.6758448060075094,0.5244055068836045,synthetic_test
0.5695199854837134,synthetic_test_004,sbm,M5 dynamic edge betweenness,0.8660826032540676,0.8322903629536921,0.6332916145181476,synthetic_test
0.5974452266076089,synthetic_test_004,sbm,M7 dynamic community size / pair,0.7133917396745932,0.6689612015018773,0.609511889862328,synthetic_test
0.6144297472212013,synthetic_test_004,sbm,M8 dynamic community bridge-degree,0.7396745932415519,0.6833541927409261,0.5713391739674594,synthetic_test
0.7548897668520145,synthetic_test_005,ba,MLP teacher-rank,0.8872305140961857,0.8341625207296849,0.8043117744610282,synthetic_test
0.672483172373427,synthetic_test_005,ba,M2 dynamic degree product,0.6981757877280266,0.6832504145936982,0.6683250414593698,synthetic_test
0.4396440997626248,synthetic_test_005,ba,M4 dynamic community internal / pair,0.603648424543947,0.5257048092868989,0.4593698175787728,synthetic_test
0.45664244138783205,synthetic_test_005,ba,M5 dynamic edge betweenness,0.6285240464344942,0.5555555555555556,0.46434494195688225,synthetic_test
0.4736082658602413,synthetic_test_005,ba,M7 dynamic community size / pair,0.6003316749585407,0.5373134328358209,0.4461028192371476,synthetic_test
0.5162951581959484,synthetic_test_005,ba,M8 dynamic community bridge-degree,0.6086235489220564,0.5422885572139303,0.5024875621890548,synthetic_test
0.7117643533501139,synthetic_test_006,er,MLP teacher-rank,0.8624338624338624,0.8483245149911817,0.7795414462081128,synthetic_test
0.655087241656821,synthetic_test_006,er,M2 dynamic degree product,0.6701940035273368,0.656084656084656,0.6490299823633157,synthetic_test
0.4509982705775586,synthetic_test_006,er,M4 dynamic community internal / pair,0.564373897707231,0.5097001763668431,0.4620811287477954,synthetic_test
0.38577678464409854,synthetic_test_006,er,M5 dynamic edge betweenness,0.5696649029982364,0.48853615520282184,0.43386243386243384,synthetic_test
0.4644826287221109,synthetic_test_006,er,M7 dynamic community size / pair,0.564373897707231,0.5238095238095238,0.4409171075837742,synthetic_test
0.489062687282752,synthetic_test_006,er,M8 dynamic community bridge-degree,0.5714285714285714,0.5326278659611993,0.4638447971781305,synthetic_test
0.6739144736842104,synthetic_test_007,sbm,MLP teacher-rank,0.88,0.83,0.74,synthetic_test
0.6624013157894737,synthetic_test_007,sbm,M2 dynamic degree product,0.71,0.68,0.635,synthetic_test
0.39167763157894736,synthetic_test_007,sbm,M4 dynamic community internal / pair,0.61,0.51,0.355,synthetic_test
0.40463815789473684,synthetic_test_007,sbm,M5 dynamic edge betweenness,0.68,0.59,0.405,synthetic_test
0.38266447368421047,synthetic_test_007,sbm,M7 dynamic community size / pair,0.63,0.505,0.305,synthetic_test
0.4280592105263158,synthetic_test_007,sbm,M8 dynamic community bridge-degree,0.595,0.5,0.39,synthetic_test
0.7563592948943044,synthetic_test_008,er,MLP teacher-rank,0.8920570264765784,0.8839103869653768,0.8228105906313645,synthetic_test
0.7187302479106679,synthetic_test_008,er,M2 dynamic degree product,0.7393075356415478,0.7209775967413442,0.7087576374745418,synthetic_test
0.46861436898658615,synthetic_test_008,er,M4 dynamic community internal / pair,0.6191446028513238,0.5743380855397149,0.38085539714867617,synthetic_test
0.4244820563241801,synthetic_test_008,er,M5 dynamic edge betweenness,0.6476578411405295,0.5539714867617108,0.4215885947046843,synthetic_test
0.43585925977947887,synthetic_test_008,er,M7 dynamic community size / pair,0.604887983706721,0.5274949083503055,0.395112016293279,synthetic_test
0.5020717747032798,synthetic_test_008,er,M8 dynamic community bridge-degree,0.6334012219959266,0.5458248472505092,0.4745417515274949,synthetic_test
0.7678463942585947,synthetic_test_009,sbm,MLP teacher-rank,0.9263803680981595,0.90920245398773,0.8343558282208589,synthetic_test
0.7529025350156268,synthetic_test_009,sbm,M2 dynamic degree product,0.7680981595092025,0.754601226993865,0.7460122699386503,synthetic_test
0.5118040282440097,synthetic_test_009,sbm,M4 dynamic community internal / pair,0.6478527607361964,0.596319018404908,0.5202453987730061,synthetic_test
0.4790745456650075,synthetic_test_009,sbm,M5 dynamic edge betweenness,0.7239263803680982,0.69079754601227,0.5460122699386503,synthetic_test
0.5254282903113786,synthetic_test_009,sbm,M7 dynamic community size / pair,0.652760736196319,0.6159509202453988,0.49693251533742333,synthetic_test
0.5548529922444727,synthetic_test_009,sbm,M8 dynamic community bridge-degree,0.6539877300613497,0.6220858895705521,0.5214723926380368,synthetic_test
0.8023602033405954,synthetic_test_010,ba,MLP teacher-rank,0.9290123456790124,0.9166666666666666,0.8364197530864198,synthetic_test
0.7593681917211329,synthetic_test_010,ba,M2 dynamic degree product,0.7993827160493827,0.7685185185185185,0.75,synthetic_test
0.4655047204066812,synthetic_test_010,ba,M4 dynamic community internal / pair,0.6697530864197531,0.5833333333333334,0.4382716049382716,synthetic_test
0.48358750907770515,synthetic_test_010,ba,M5 dynamic edge betweenness,0.8148148148148148,0.7283950617283951,0.4722222222222222,synthetic_test
0.4908133623819898,synthetic_test_010,ba,M7 dynamic community size / pair,0.6820987654320988,0.5771604938271605,0.4444444444444444,synthetic_test
0.5124909222948438,synthetic_test_010,ba,M8 dynamic community bridge-degree,0.6944444444444444,0.5833333333333334,0.49691358024691357,synthetic_test
0.8064271751408608,synthetic_test_011,sbm,MLP teacher-rank,0.9360529217199559,0.9316427783902976,0.8875413450937155,synthetic_test
0.8276797370147658,synthetic_test_011,sbm,M2 dynamic degree product,0.8390297684674752,0.8313120176405733,0.824696802646086,synthetic_test
0.5067538774764782,synthetic_test_011,sbm,M4 dynamic community internal / pair,0.7023153252480706,0.6251378169790518,0.4685777287761852,synthetic_test
0.5601693711487341,synthetic_test_011,sbm,M5 dynamic edge betweenness,0.8401323042998897,0.8202866593164277,0.6328555678059536,synthetic_test
0.5283311124789469,synthetic_test_011,sbm,M7 dynamic community size / pair,0.7089305402425579,0.6703417861080485,0.5170893054024256,synthetic_test
0.5397284920962384,synthetic_test_011,sbm,M8 dynamic community bridge-degree,0.7243660418963617,0.6262403528114664,0.48180815876515987,synthetic_test
0.7552985732534498,synthetic_test_012,ba,MLP teacher-rank,0.8795811518324608,0.8603839441535777,0.7853403141361257,synthetic_test
0.674893398823339,synthetic_test_012,ba,M2 dynamic degree product,0.6945898778359512,0.6736474694589878,0.6684118673647469,synthetic_test
0.5091083283855994,synthetic_test_012,ba,M4 dynamic community internal / pair,0.6282722513089005,0.5427574171029669,0.4851657940663176,synthetic_test
0.45046418740216987,synthetic_test_012,ba,M5 dynamic edge betweenness,0.6195462478184991,0.5654450261780105,0.4397905759162304,synthetic_test
0.4782344686133751,synthetic_test_012,ba,M7 dynamic community size / pair,0.5916230366492147,0.5340314136125655,0.44851657940663175,synthetic_test
0.5384798762166928,synthetic_test_012,ba,M8 dynamic community bridge-degree,0.6178010471204188,0.5706806282722513,0.5043630017452007,synthetic_test
0.4830029700413223,synthetic_test_013,ws,MLP teacher-rank,0.8551136363636364,0.7840909090909091,0.29829545454545453,synthetic_test
0.7731630940082644,synthetic_test_013,ws,M2 dynamic degree product,0.8068181818181818,0.78125,0.7642045454545454,synthetic_test
0.29337228822314054,synthetic_test_013,ws,M4 dynamic community internal / pair,0.4971590909090909,0.3352272727272727,0.2556818181818182,synthetic_test
0.28097559400826444,synthetic_test_013,ws,M5 dynamic edge betweenness,0.5142045454545454,0.3494318181818182,0.2159090909090909,synthetic_test
0.2908219266528926,synthetic_test_013,ws,M7 dynamic community size / pair,0.5085227272727273,0.34375,0.23863636363636365,synthetic_test
0.30141076962809915,synthetic_test_013,ws,M8 dynamic community bridge-degree,0.4744318181818182,0.3380681818181818,0.2471590909090909,synthetic_test
0.4031517624634219,synthetic_test_014,ws,MLP teacher-rank,0.7409326424870466,0.4317789291882556,0.3143350604490501,synthetic_test
0.6835530260320187,synthetic_test_014,ws,M2 dynamic degree product,0.7063903281519862,0.689119170984456,0.6701208981001727,synthetic_test
0.22453399196399007,synthetic_test_014,ws,M4 dynamic community internal / pair,0.2918825561312608,0.22107081174438686,0.21070811744386875,synthetic_test
0.20787135225106718,synthetic_test_014,ws,M5 dynamic edge betweenness,0.3005181347150259,0.2556131260794473,0.19689119170984457,synthetic_test
0.23088763009297789,synthetic_test_014,ws,M7 dynamic community size / pair,0.2849740932642487,0.22279792746113988,0.2141623488773748,synthetic_test
0.23170196962782,synthetic_test_014,ws,M8 dynamic community bridge-degree,0.2918825561312608,0.22797927461139897,0.20898100172711573,synthetic_test
0.4797397189670139,synthetic_test_015,ws,MLP teacher-rank,0.65625,0.5950520833333334,0.4609375,synthetic_test
0.7585279676649306,synthetic_test_015,ws,M2 dynamic degree product,0.7708333333333334,0.76171875,0.7578125,synthetic_test
0.20924546983506945,synthetic_test_015,ws,M4 dynamic community internal / pair,0.31640625,0.23046875,0.16145833333333334,synthetic_test
0.23243204752604163,synthetic_test_015,ws,M5 dynamic edge betweenness,0.3606770833333333,0.26171875,0.21223958333333334,synthetic_test
0.2047763400607639,synthetic_test_015,ws,M7 dynamic community size / pair,0.3190104166666667,0.23958333333333334,0.15104166666666666,synthetic_test
0.21357896592881942,synthetic_test_015,ws,M8 dynamic community bridge-degree,0.32421875,0.23697916666666666,0.17057291666666666,synthetic_test
0.7441362516793552,synthetic_test_016,sbm,MLP teacher-rank,0.9383116883116883,0.8327922077922078,0.8068181818181818,synthetic_test
0.7293485968054934,synthetic_test_016,sbm,M2 dynamic degree product,0.7483766233766234,0.7337662337662337,0.7256493506493507,synthetic_test
0.4454629422301837,synthetic_test_016,sbm,M4 dynamic community internal / pair,0.6233766233766234,0.5340909090909091,0.43506493506493504,synthetic_test
0.43980911330049266,synthetic_test_016,sbm,M5 dynamic edge betweenness,0.6444805194805194,0.5925324675324676,0.4659090909090909,synthetic_test
0.46426238990894164,synthetic_test_016,sbm,M7 dynamic community size / pair,0.6201298701298701,0.5308441558441559,0.3977272727272727,synthetic_test
0.4807947081653978,synthetic_test_016,sbm,M8 dynamic community bridge-degree,0.6038961038961039,0.5568181818181818,0.42694805194805197,synthetic_test
0.4456849789958808,synthetic_test_017,sbm,MLP teacher-rank,0.9488559892328399,0.5168236877523553,0.360699865410498,synthetic_test
0.7442833448889976,synthetic_test_017,sbm,M2 dynamic degree product,0.7604306864064603,0.7483176312247645,0.7402422611036339,synthetic_test
0.23093995133026088,synthetic_test_017,sbm,M4 dynamic community internal / pair,0.5047106325706595,0.28667563930013457,0.16150740242261102,synthetic_test
0.21858218796307624,synthetic_test_017,sbm,M5 dynamic edge betweenness,0.5773889636608345,0.2072678331090175,0.1601615074024226,synthetic_test
0.23564378645132344,synthetic_test_017,sbm,M7 dynamic community size / pair,0.5047106325706595,0.2557200538358008,0.1655450874831763,synthetic_test
0.23749269274168336,synthetic_test_017,sbm,M8 dynamic community bridge-degree,0.5248990578734859,0.3364737550471063,0.16285329744279947,synthetic_test
