graph_id,attack_phase,m5_phase_bridge_ratio,sasb_phase_bridge_ratio,phase_ratio_diff
bio_celegans,early,0.034074074074074076,0.007407407407407408,-0.02666666666666667
bio_celegans,late,0.47703703703703704,0.5051851851851852,0.028148148148148144
bio_celegans,middle,0.15851851851851853,0.15703703703703703,-0.0014814814814815003
bio_celegans_dir,early,0.034074074074074076,0.005925925925925926,-0.02814814814814815
bio_celegans_dir,late,0.47703703703703704,0.5140740740740741,0.03703703703703709
bio_celegans_dir,middle,0.15851851851851853,0.14962962962962964,-0.00888888888888889
bio_celegansneural,early,0.06983240223463687,0.004189944134078212,-0.06564245810055866
bio_celegansneural,late,0.2164804469273743,0.3729050279329609,0.15642458100558657
bio_celegansneural,middle,0.1270949720670391,0.036312849162011177,-0.09078212290502792
bio_diseasome,early,0.29545454545454547,0.29545454545454547,0.0
bio_diseasome,late,0.6363636363636364,0.6414141414141414,0.005050505050505083
bio_diseasome,middle,0.3686868686868687,0.36363636363636365,-0.0050505050505050275
bio_grid_mouse,early,0.4672131147540984,0.366120218579235,-0.10109289617486339
bio_grid_mouse,late,0.953551912568306,0.9508196721311475,-0.002732240437158473
bio_grid_mouse,middle,0.7377049180327869,0.8415300546448088,0.10382513661202186
bio_grid_plant,early,0.25412541254125415,0.17271727172717272,-0.08140814081408143
bio_grid_plant,late,0.7433920704845814,0.7687224669603524,0.025330396475770955
bio_grid_plant,middle,0.40154015401540155,0.45764576457645767,0.05610561056105612
bio_sc_ts,early,0.016282225237449117,0.016282225237449117,0.0
bio_sc_ts,late,0.051560379918588875,0.052917232021709636,0.0013568521031207606
bio_sc_ts,middle,0.021709633649932156,0.0203527815468114,-0.0013568521031207571
ca_csphd,early,0.9454022988505747,0.9454022988505747,0.0
ca_csphd,late,1.0,1.0,0.0
ca_csphd,middle,1.0,1.0,0.0
ca_netscience,early,0.32459016393442625,0.32786885245901637,0.003278688524590123
ca_netscience,late,0.5855263157894737,0.5822368421052632,-0.003289473684210509
ca_netscience,middle,0.33114754098360655,0.33114754098360655,0.0
football,early,0.06829268292682927,0.06341463414634146,-0.004878048780487809
football,late,0.35294117647058826,0.35294117647058826,0.0
football,middle,0.13725490196078433,0.14215686274509803,0.004901960784313708
ia_email_univ,early,0.030820033021463952,0.007154650522839846,-0.023665382498624106
ia_email_univ,late,0.4061640066042928,0.47936158503026965,0.07319757842597685
ia_email_univ,middle,0.186020913593836,0.1364887176664832,-0.04953219592735278
ia_enron_only,early,0.07211538461538461,0.0625,-0.009615384615384609
ia_enron_only,late,0.391304347826087,0.4106280193236715,0.019323671497584516
ia_enron_only,middle,0.22115384615384615,0.21153846153846154,-0.009615384615384609
ia_infect_dublin,early,0.07266811279826464,0.026030368763557483,-0.04663774403470716
ia_infect_dublin,late,0.25732899022801303,0.31921824104234525,0.06188925081433222
ia_infect_dublin,middle,0.113882863340564,0.09869848156182212,-0.015184381778741873
ia_infect_hyper,early,0.05327868852459016,0.001366120218579235,-0.051912568306010924
ia_infect_hyper,late,0.06147540983606557,0.1489071038251366,0.08743169398907104
ia_infect_hyper,middle,0.03825136612021858,0.00273224043715847,-0.03551912568306011
ia_radoslaw_email,early,0.07564575645756458,0.0009225092250922509,-0.07472324723247233
ia_radoslaw_email,late,0.048938134810710986,0.14866112650046168,0.09972299168975068
ia_radoslaw_email,middle,0.028624192059095107,0.003693444136657433,-0.024930747922437674
inf_euroroad,early,0.5080459770114942,0.503448275862069,-0.0045977011494252595
inf_euroroad,late,1.0,1.0,0.0
inf_euroroad,middle,0.8781609195402299,0.8827586206896552,0.0045977011494252595
inf_power,early,0.46360327570518656,0.46678798908098273,0.0031847133757961776
inf_power,late,0.9722474977252047,0.9736123748862603,0.0013648771610555999
inf_power,middle,0.8116469517743403,0.8070973612374887,-0.0045495905368516665
inf_usair97,early,0.22284908321579688,0.007052186177715092,-0.2157968970380818
inf_usair97,late,0.17796610169491525,0.4152542372881356,0.23728813559322035
inf_usair97,middle,0.06629055007052186,0.045133991537376586,-0.02115655853314527
rt_retweet,early,0.48717948717948717,0.48717948717948717,0.0
rt_retweet,late,1.0,1.0,0.0
rt_retweet,middle,0.9487179487179487,0.9487179487179487,0.0
rt_twitter_copen,early,0.3206997084548105,0.3206997084548105,0.0
rt_twitter_copen,late,0.9591836734693877,0.9620991253644315,0.00291545189504383
rt_twitter_copen,middle,0.9358600583090378,0.9329446064139941,-0.002915451895043719
soc_dolphins,early,0.18867924528301888,0.2641509433962264,0.07547169811320753
soc_dolphins,late,0.5471698113207547,0.5094339622641509,-0.037735849056603765
soc_dolphins,middle,0.41509433962264153,0.37735849056603776,-0.037735849056603765
soc_wiki_vote,early,0.10082304526748971,0.018518518518518517,-0.0823045267489712
soc_wiki_vote,late,0.6065911431513903,0.6920700308959835,0.08547888774459322
soc_wiki_vote,middle,0.2070030895983522,0.203913491246138,-0.003089598352214201
web_edu,early,0.1936978683966636,0.1645041705282669,-0.02919369786839668
web_edu,late,0.8948100092678406,0.8948100092678406,0.0
web_edu,middle,0.3155699721964782,0.3447636700648749,0.029193697868396706
web_polblogs,early,0.125,0.02368421052631579,-0.1013157894736842
web_polblogs,late,0.49473684210526314,0.6513157894736842,0.15657894736842104
web_polblogs,middle,0.225,0.16973684210526316,-0.05526315789473685
