summary_kind,dataset,dataset_label,method,metric,n,mean,std,ci95_low,ci95_high
cost_summary,realworld_completed,realworld24,SASB-matched,runtime_seconds,24,140.7979885916684,206.45457316025,58.19895657157217,223.39702061176462
cost_summary,realworld_completed,realworld24,SASB-matched,true_source_traversal_count,24,48150.125,36752.52303591462,33446.05339434703,62854.19660565297
cost_summary,realworld_completed,realworld24,SASB-matched,candidate_generation_seconds,24,20.13833159157366,29.159755403017154,8.471999703820035,31.804663479327285
cost_summary,realworld_completed,realworld24,SASB-matched,sampled_path_scoring_seconds,24,31.017604362452403,49.38909754484324,11.25785001502188,50.777358709882925
cost_summary,realworld_completed,realworld24,SASB-matched,model_scoring_seconds,24,0.4677353791666974,0.5504156922778696,0.2475232390581119,0.6879475192752829
cost_summary,realworld_completed,realworld24,SASB-matched,louvain_recomputes,24,839.4166666666666,1068.4123091385836,411.962717924619,1266.8706154087142
cost_summary,realworld_completed,realworld24,SASB-random,runtime_seconds,24,123.21415743750065,177.39588614604455,52.24102152814477,194.1872933468565
cost_summary,realworld_completed,realworld24,SASB-random,true_source_traversal_count,24,48182.375,36724.23302518439,33489.62175589449,62875.12824410551
cost_summary,realworld_completed,realworld24,SASB-random,candidate_generation_seconds,24,19.85016456244557,28.75545887166249,8.345584975102637,31.3547441497885
cost_summary,realworld_completed,realworld24,SASB-random,sampled_path_scoring_seconds,24,29.740490725086904,46.87943146233881,10.984811927717601,48.496169522456206
cost_summary,realworld_completed,realworld24,SASB-random,model_scoring_seconds,24,0.4530627582692735,0.5295264456613284,0.24120805739656334,0.6649174591419836
cost_summary,realworld_completed,realworld24,SASB-random,louvain_recomputes,24,837.0,1068.0839813911393,409.67740971472625,1264.3225902852737
cost_summary,realworld_completed,realworld24,SASB-structured,runtime_seconds,24,126.40942658333249,181.25454411461308,53.89250596520681,198.92634720145816
cost_summary,realworld_completed,realworld24,SASB-structured,true_source_traversal_count,24,48089.375,36636.454032434034,33431.740667148886,62747.009332851114
cost_summary,realworld_completed,realworld24,SASB-structured,candidate_generation_seconds,24,20.378172037590655,29.210180628289166,8.691665858063748,32.06467821711756
cost_summary,realworld_completed,realworld24,SASB-structured,sampled_path_scoring_seconds,24,30.82444611258082,47.87387774213025,11.670905941402175,49.97798628375946
cost_summary,realworld_completed,realworld24,SASB-structured,model_scoring_seconds,24,0.4639175750150268,0.5419506075425792,0.24709217415081905,0.6807429758792345
cost_summary,realworld_completed,realworld24,SASB-structured,louvain_recomputes,24,838.5833333333334,1069.6873137863058,410.61927649287503,1266.5473901737917
cost_summary,synthetic45,synthetic45,SASB-matched,runtime_seconds,45,12.205924755555397,10.827761194551874,9.042274372402161,15.369575138708633
cost_summary,synthetic45,synthetic45,SASB-matched,true_source_traversal_count,45,14178.577777777778,8173.984898024421,11790.306556249978,16566.848999305577
cost_summary,synthetic45,synthetic45,SASB-matched,candidate_generation_seconds,45,1.5382570311401247,1.501884515015716,1.0994370908026774,1.977076971477572
cost_summary,synthetic45,synthetic45,SASB-matched,sampled_path_scoring_seconds,45,2.866309444367006,2.4914827932419827,2.138349125346883,3.5942697633871292
cost_summary,synthetic45,synthetic45,SASB-matched,model_scoring_seconds,45,0.06531315782534265,0.05391293398928625,0.04956090108385293,0.08106541456683238
cost_summary,synthetic45,synthetic45,SASB-matched,louvain_recomputes,45,154.88888888888889,51.05310168754874,139.97221665970798,169.8055611180698
cost_summary,synthetic45,synthetic45,SASB-random,runtime_seconds,45,10.918098360000618,9.69845825187227,8.08440720139161,13.751789518609627
cost_summary,synthetic45,synthetic45,SASB-random,true_source_traversal_count,45,14175.066666666668,8178.1099905896235,11785.590177453336,16564.54315588
cost_summary,synthetic45,synthetic45,SASB-random,candidate_generation_seconds,45,1.5286259021907527,1.484320220396893,1.0949378895345894,1.962313914846916
cost_summary,synthetic45,synthetic45,SASB-random,sampled_path_scoring_seconds,45,2.857627524444575,2.478166485718903,2.133557958151689,3.581697090737461
cost_summary,synthetic45,synthetic45,SASB-random,model_scoring_seconds,45,0.06407568660732872,0.055259466471708284,0.047930000612330326,0.08022137260232712
cost_summary,synthetic45,synthetic45,SASB-random,louvain_recomputes,45,154.6,51.54759495315514,139.538846951461,169.66115304853898
cost_summary,synthetic45,synthetic45,SASB-structured,runtime_seconds,45,11.204773753332363,10.107522971117096,8.251562249518056,14.15798525714667
cost_summary,synthetic45,synthetic45,SASB-structured,true_source_traversal_count,45,14185.555555555555,8172.512222398478,11797.714619728053,16573.396491383057
cost_summary,synthetic45,synthetic45,SASB-structured,candidate_generation_seconds,45,1.571605093338682,1.5542262674359886,1.1174919633820708,2.0257182232952933
cost_summary,synthetic45,synthetic45,SASB-structured,sampled_path_scoring_seconds,45,2.9316133134183473,2.614532344538567,2.167700431988356,3.6955261948483384
cost_summary,synthetic45,synthetic45,SASB-structured,model_scoring_seconds,45,0.06460455774859934,0.05487235713032277,0.04857197718640387,0.08063713831079482
cost_summary,synthetic45,synthetic45,SASB-structured,louvain_recomputes,45,154.9111111111111,51.60506591685383,139.8331662223146,169.9890559999076
