file_path,exists,rows,columns,graphs,methods,missing_columns,file_type,notes
result/sasb_m5_edge_diagnostics/full_synthetic45/edge_step_diagnostics.csv,True,50610,"[""adaptive_k"", ""attack_phase"", ""candidate_set_size"", ""common_neighbors"", ""community_strength"", ""community_u"", ""community_v"", ""current_gcc_edges"", ""current_gcc_nodes"", ""dataset"", ""degree_max"", ""degree_min"", ""degree_product"", ""degree_u"", ""degree_v"", ""delta_components"", ""delta_gcc"", ""edge_embeddedness"", ""edge_u"", ""edge_v"", ""full_eb_available"", ""full_edge_betweenness_score"", ""gcc_after"", ""gcc_before"", ""gcc_size_after"", ""gcc_size_before"", ""graph_id"", ""graph_name"", ""graph_type"", ""is_bridge_before_removal"", ""is_inter_community_edge"", ""m5_rank_in_full_eb"", ""method"", ""num_bridges_before"", ""num_components_after"", ""num_components_before"", ""original_edges"", ""original_nodes"", ""remove_ratio_after"", ""remove_ratio_before"", ""removed_edges_after_step"", ""sample_sources"", ""sampled_betweenness_available"", ""sampled_betweenness_score"", ""selected_edge"", ""step"", ""sasb_fallback"", ""selected_edge_u"", ""selected_edge_v"", ""components_before"", ""components_after"", ""is_bridge"", ""is_inter_community"", ""embeddedness"", ""full_edge_betweenness"", ""sampled_betweenness""]",45.0,2.0,,mechanism diagnostic result,missing_values=202440; last_write_time=2026-07-05T13:12:03.441468477
result/sasb_m5_edge_diagnostics/full_synthetic45/graph_method_summary.csv,True,90,"[""auc"", ""bridge_selection_ratio"", ""community_strength"", ""dataset"", ""final_gcc_ratio"", ""graph_id"", ""graph_name"", ""graph_type"", ""inter_community_edge_ratio"", ""mean_common_neighbors"", ""mean_degree_product"", ""mean_delta_gcc"", ""mean_edge_embeddedness"", ""median_common_neighbors"", ""median_edge_embeddedness"", ""method"", ""normalized_auc"", ""observed_remove_ratio"", ""removed_edges"", ""runtime_seconds"", ""status"", ""sum_delta_gcc"", ""candidate_generation_seconds"", ""delta_gcc_seconds"", ""last_adaptive_k"", ""last_sample_sources"", ""louvain_recomputes"", ""model_scoring_seconds"", ""sampled_path_scoring_seconds"", ""total_selection_seconds""]",45.0,2.0,,mechanism diagnostic result,missing_values=360; last_write_time=2026-07-05T13:12:03.955644846
result/sasb_m5_edge_diagnostics/full_real_completed_edges_le1305/edge_step_diagnostics.csv,True,106548,"[""adaptive_k"", ""attack_phase"", ""candidate_set_size"", ""common_neighbors"", ""community_strength"", ""community_u"", ""community_v"", ""current_gcc_edges"", ""current_gcc_nodes"", ""dataset"", ""degree_max"", ""degree_min"", ""degree_product"", ""degree_u"", ""degree_v"", ""delta_components"", ""delta_gcc"", ""edge_embeddedness"", ""edge_u"", ""edge_v"", ""full_eb_available"", ""full_edge_betweenness_score"", ""gcc_after"", ""gcc_before"", ""gcc_size_after"", ""gcc_size_before"", ""graph_id"", ""graph_name"", ""graph_type"", ""is_bridge_before_removal"", ""is_inter_community_edge"", ""m5_rank_in_full_eb"", ""method"", ""num_bridges_before"", ""num_components_after"", ""num_components_before"", ""original_edges"", ""original_nodes"", ""remove_ratio_after"", ""remove_ratio_before"", ""removed_edges_after_step"", ""sample_sources"", ""sampled_betweenness_available"", ""sampled_betweenness_score"", ""selected_edge"", ""step"", ""sasb_fallback"", ""selected_edge_u"", ""selected_edge_v"", ""components_before"", ""components_after"", ""is_bridge"", ""is_inter_community"", ""embeddedness"", ""full_edge_betweenness"", ""sampled_betweenness""]",24.0,2.0,,mechanism diagnostic result,missing_values=556830; last_write_time=2026-07-05T15:11:29.758629799
result/sasb_m5_edge_diagnostics/full_real_completed_edges_le1305/graph_method_summary.csv,True,48,"[""auc"", ""bridge_selection_ratio"", ""community_strength"", ""dataset"", ""final_gcc_ratio"", ""graph_id"", ""graph_name"", ""graph_type"", ""inter_community_edge_ratio"", ""mean_common_neighbors"", ""mean_degree_product"", ""mean_delta_gcc"", ""mean_edge_embeddedness"", ""median_common_neighbors"", ""median_edge_embeddedness"", ""method"", ""normalized_auc"", ""observed_remove_ratio"", ""removed_edges"", ""runtime_seconds"", ""status"", ""sum_delta_gcc"", ""candidate_generation_seconds"", ""delta_gcc_seconds"", ""last_adaptive_k"", ""last_sample_sources"", ""louvain_recomputes"", ""model_scoring_seconds"", ""sampled_path_scoring_seconds"", ""total_selection_seconds"", ""diagnostic_louvain_interval"", ""diagnostic_louvain_recomputes""]",24.0,2.0,,mechanism diagnostic result,missing_values=328; last_write_time=2026-07-05T15:11:30.619495392
result/sasb_m5_edge_diagnostics/why_sasb_wins_or_loses/graph_structure_by_outcome.csv,True,24,"[""community_strength"", ""dataset"", ""diagnosis"", ""graph_id"", ""graph_name"", ""graph_type"", ""m5_auc"", ""m5_bridge_ratio"", ""m5_inter_community_ratio"", ""m5_mean_common_neighbors"", ""m5_mean_delta_gcc"", ""m5_mean_embeddedness"", ""outcome"", ""sasb_auc"", ""sasb_bridge_ratio"", ""sasb_inter_community_ratio"", ""sasb_mean_common_neighbors"", ""sasb_mean_delta_gcc"", ""sasb_mean_embeddedness"", ""sasb_minus_m5_normalized_auc"", ""outcome_class"", ""average_degree"", ""average_edge_embeddedness"", ""bridge_ratio"", ""clustering_coefficient"", ""community_algorithm"", ""core2_size_ratio"", ""degree_cv"", ""inter_community_edge_ratio"", ""m"", ""modularity"", ""n"", ""num_communities""]",24.0,,,mechanism diagnostic outcome analysis,missing_values=24; last_write_time=2026-07-07T06:03:38.478202105
result/sasb_m5_edge_diagnostics/why_sasb_wins_or_loses/selected_edge_summary_by_outcome_method.csv,True,6,"[""outcome_class"", ""method"", ""selected_edges"", ""bridge_selection_ratio"", ""inter_community_edge_ratio"", ""mean_common_neighbors"", ""mean_edge_embeddedness"", ""mean_degree_product"", ""mean_immediate_delta_gcc""]",,2.0,,mechanism diagnostic outcome analysis,missing_values=0; last_write_time=2026-07-07T06:03:38.542814493
result/sasb_m5_edge_diagnostics/why_sasb_wins_or_loses/phase_auc_summary_by_outcome_method.csv,True,18,"[""outcome_class"", ""method"", ""attack_phase"", ""graphs"", ""mean_phase_normalized_auc""]",,2.0,,mechanism diagnostic outcome analysis,missing_values=0; last_write_time=2026-07-07T06:03:38.551123857
result/paper_experiments/baselines/baseline_synthetic45_summary.csv,True,11,"[""dataset"", ""failed"", ""finished"", ""graph_count"", ""max_runtime_seconds"", ""mean_normalized_auc"", ""mean_runtime_seconds"", ""median_normalized_auc"", ""method"", ""run_count"", ""std_normalized_auc"", ""timeout"", ""total_runtime_seconds""]",,11.0,,baseline result,missing_values=0; last_write_time=2026-06-08T10:08:43.768563986
result/paper_experiments/baselines/baseline_realworld_m5_completed_per_graph.csv,True,364,"[""auc"", ""candidate_generation_seconds"", ""elapsed_seconds"", ""feature_scoring_seconds"", ""final_gcc_ratio"", ""graph_id"", ""louvain_recomputes"", ""method"", ""model_scoring_seconds"", ""normalized_auc"", ""observed_remove_ratio"", ""remove_ratio_gcc_le_0.1"", ""remove_ratio_gcc_le_0.2"", ""remove_ratio_gcc_le_0.5"", ""removed_edges"", ""runtime_seconds"", ""sampled_path_scoring_seconds"", ""status"", ""total_selection_seconds"", ""method_label"", ""completion_source"", ""candidate_backend"", ""community_strength"", ""dataset"", ""delta_gcc_runtime_ratio"", ""delta_gcc_seconds"", ""last_adaptive_k"", ""last_sample_sources"", ""sampled_path_runtime_ratio"", ""completion_timeout_seconds"", ""completion_run"", ""rank_in_graph"", ""network_name"", ""network_type"", ""num_edges"", ""num_nodes"", ""reason"", ""removed_budget"", ""runtime"", ""completed_remove_ratio_1"", ""m5_completion_timeout_seconds"", ""graph_name"", ""graph_type"", ""num_nodes_gcc"", ""num_edges_gcc"", ""average_degree"", ""clustering_coefficient"", ""density"", ""size_bin"", ""seed""]",28.0,11.0,,baseline result,missing_values=10780; last_write_time=2026-06-08T10:08:43.809977055
result/paper_experiments/interim_completed_subset_summary.md,True,128,[],,,,documentation/report,markdown file; columns/graphs/methods not applicable; last_write_time=2026-07-06T09:45:23.822069407
RESEARCH_PROGRESS_ALGORITHM_SUMMARY.md,True,681,[],,,,documentation/report,markdown file; columns/graphs/methods not applicable; last_write_time=2026-06-25T07:43:40.395358324
FIXED_K32_METHOD_DETAILED_SUMMARY_CN.md,True,391,[],,,,documentation/report,markdown file; columns/graphs/methods not applicable; last_write_time=2026-06-27T10:52:44.011418581
